name,median,distribution,dist_param2,units
K_Mac_C,2.0,lognormal,1.0,
K_T_C,1.2,lognormal,1.0,
K_T_Treg,11.0,lognormal,1.0,
K_nT0_pro,1000000000.0,lognormal,1.0,
K_nT1_pro,1000000000.0,lognormal,1.0,
k_APC_death,0.01,lognormal,1.0,
k_APC_mat,1.5,lognormal,1.0,
k_APC_mig,4.0,lognormal,1.0,
k_ArgI_deg,0.173,lognormal,1.0,
k_ArgI_sec,0.014,lognormal,1.0,
k_C1_death,0.0001,lognormal,1.0,
k_C1_growth,0.0072,lognormal,1.0,
k_C2_death,0.0001,lognormal,1.0,
k_C2_growth,0.0072,lognormal,1.0,
k_CCL2_deg,0.06,lognormal,1.0,
k_CCL2_sec,1.7e-12,lognormal,1.0,
k_C_T1,0.9,lognormal,1.0,
k_C_nabp,0.06,lognormal,1.0,
k_C_resist,0.0001,lognormal,1.0,
k_IFNg_Thsec,80.2952114266667,lognormal,1.0,
k_IFNg_Tsec,4e-13,lognormal,1.0,
k_IFNg_deg,7.68,lognormal,1.0,
k_IL10_deg,4.0,lognormal,1.0,
k_IL10_sec,3e-12,lognormal,1.0,
k_IL12_Msec,5e-13,lognormal,1.0,
k_IL12_deg,0.0231,lognormal,1.0,
k_IL12_sec,8.5e-12,lognormal,1.0,
k_IL2_cons,6e-06,lognormal,1.0,
k_IL2_deg,0.2,lognormal,1.0,
k_IL2_sec,3e-05,lognormal,1.0,
k_K_d,0.0034,lognormal,1.0,
k_K_g,4.12,lognormal,1.0,
k_K_nabp,17.8,lognormal,1.0,
k_M1_phago,0.33,lognormal,1.0,
k_M1_pol,0.045,lognormal,1.0,
k_M1p0_TCR_off,1.0,lognormal,1.0,
k_M1p0_TCR_on,1.0,lognormal,1.0,
k_M1p0_TCR_p,1.0,lognormal,1.0,
k_M1p1_TCR_off,1.0,lognormal,1.0,
k_M1p1_TCR_on,1.0,lognormal,1.0,
k_M1p1_TCR_p,1.0,lognormal,1.0,
k_M2_pol,0.25,lognormal,1.0,
k_MDSC_death,0.015,lognormal,1.0,
k_MDSC_rec,11000.0,lognormal,1.0,
k_Mac_death,0.02,lognormal,1.0,
k_Mac_rec,170000.0,lognormal,1.0,
k_NO_deg,135.0,lognormal,1.0,
k_NO_sec,4.8e-07,lognormal,1.0,
k_P0_d1,1e-07,lognormal,1.0,
k_P0_deg,17.28,lognormal,1.0,
k_P0_on,144000.0,lognormal,1.0,
k_P0_up,14.4,lognormal,1.0,
k_P1_d1,1e-08,lognormal,1.0,
k_P1_deg,17.28,lognormal,1.0,
k_P1_on,144000.0,lognormal,1.0,
k_P1_up,14.4,lognormal,1.0,
k_T0_act,5.0,lognormal,1.0,
k_T0_death,0.01,lognormal,1.0,
k_T0_pro,1.0,lognormal,1.0,
k_T1,0.1,lognormal,1.0,
k_T1_act,23.0,lognormal,1.0,
k_T1_death,0.01,lognormal,1.0,
k_T1_pro,1.0,lognormal,1.0,
k_TGFb_Msec,2e-11,lognormal,1.0,
k_TGFb_Tsec,1.2e-10,lognormal,1.0,
k_TGFb_deg,14.3,lognormal,1.0,
k_Th_Treg,0.022,lognormal,1.0,
k_Th_act,10.0,lognormal,1.0,
k_Treg,0.1,lognormal,1.0,
k_cell_clear,0.1,lognormal,1.0,
k_cl_aCTLA4,0.3276,lognormal,1.0,
k_cl_aPD1,0.315,lognormal,1.0,
k_cl_aPDL1,0.324,lognormal,1.0,
k_in_PDL1,1.0,lognormal,1.0,
k_mAPC_death,0.02,lognormal,1.0,
k_nT0_death,0.002,lognormal,1.0,
k_nT0_pro,320000000.0,lognormal,1.0,
k_nT1_death,0.002,lognormal,1.0,
k_nT1_pro,320000000.0,lognormal,1.0,
k_out_PDL1,50000.0,lognormal,1.0,
k_p0_deg,144.0,lognormal,1.0,
k_p1_deg,144.0,lognormal,1.0,
k_vas_Csec,0.00011,lognormal,1.0,
k_vas_Msec,1.7e-05,lognormal,1.0,
k_vas_deg,16.6,lognormal,1.0,
k_vas_nabp,0.00028,lognormal,1.0,
k_xP0_deg,2.0,lognormal,1.0,
k_xP1_deg,2.0,lognormal,1.0,
